HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Type 1,Type 2,Legendary
90,30,15,40,20,15,2,12,4,0
35,20,65,40,65,20,2,4,17,0
55,40,85,80,105,40,2,4,7,0
40,50,45,70,45,70,2,14,7,0
65,75,70,95,70,95,2,14,7,0
55,40,40,65,45,35,2,3,17,0
70,55,55,80,60,45,2,3,17,0
90,75,85,115,90,55,2,3,17,0
90,95,105,165,110,45,2,3,2,0
75,80,95,90,100,50,2,9,17,0
70,20,50,20,50,40,2,17,4,0
100,50,80,60,80,50,2,17,4,0
70,100,115,30,65,30,2,15,17,0
90,75,75,90,100,70,2,17,17,0
35,35,40,35,55,50,2,9,7,0
55,45,50,45,65,80,2,9,7,0
75,55,70,55,95,110,2,9,7,0
55,70,55,40,55,85,2,12,17,0
30,30,30,30,30,30,2,9,17,0
75,75,55,105,85,30,2,9,17,0
65,65,45,75,45,95,2,0,7,0
55,45,45,25,25,15,2,17,10,0
95,85,85,65,65,35,2,17,10,0
65,65,60,130,95,110,2,14,17,0
95,65,110,60,130,65,2,1,17,0
60,85,42,85,42,91,2,1,7,0
95,75,80,100,110,30,2,17,14,0
60,60,60,85,85,85,2,8,17,0
48,72,48,72,48,48,2,14,17,0
190,33,58,33,58,33,2,14,17,0
70,80,65,90,65,85,2,12,14,0
50,65,90,35,35,15,2,0,17,0
75,90,140,60,60,40,2,0,16,0
100,70,70,65,65,45,2,12,17,0
65,75,105,35,65,85,2,10,7,0
75,85,200,55,65,30,2,16,10,0
75,125,230,55,95,30,2,16,10,0
60,80,50,40,40,30,2,4,17,0
90,120,75,60,60,45,2,4,17,0
65,95,80,55,55,85,2,17,13,0
70,130,100,55,80,65,2,0,16,0
70,150,140,65,100,75,2,0,16,0
20,10,230,10,230,5,2,0,15,0
80,125,75,40,95,85,2,0,5,0
80,185,115,40,105,75,2,0,5,0
55,95,55,35,75,115,2,1,11,0
60,80,50,50,50,40,2,12,17,0
90,130,75,75,75,55,2,12,17,0
40,40,40,70,40,20,2,6,17,0
55,50,120,85,80,30,2,6,15,0
50,50,40,30,30,50,2,11,10,0
100,100,80,60,60,50,2,11,10,0
60,55,90,65,90,35,2,17,15,0
35,65,35,65,35,65,2,17,17,0
75,105,75,105,75,45,2,17,17,0
45,55,45,65,45,75,2,11,7,0
75,40,70,80,140,70,2,17,7,0
65,80,140,40,70,70,2,16,7,0
45,60,30,80,50,65,2,1,6,0
75,90,50,110,80,95,2,1,6,0
75,90,90,140,90,115,2,1,6,0
75,95,95,95,95,85,2,17,2,0
90,60,60,40,40,40,2,10,17,0
90,120,120,60,60,50,2,10,17,0
85,80,90,105,95,60,2,12,17,0
73,95,62,85,65,85,2,12,17,0
55,20,35,20,45,75,2,12,17,0
35,35,35,35,35,35,2,5,17,0
50,95,95,35,110,70,2,5,17,0
45,30,15,85,65,65,2,11,14,0
45,63,37,65,55,95,2,3,17,0
45,75,37,70,55,83,2,6,17,0
95,80,105,40,70,100,2,12,17,0
255,10,10,75,135,55,2,12,17,0
90,85,75,115,100,115,2,3,17,1
115,115,85,90,75,100,2,6,17,1
100,75,115,90,115,85,2,17,17,1
50,64,50,45,50,41,2,15,10,0
70,84,70,65,70,51,2,15,10,0
100,134,110,95,100,61,2,15,1,0
100,164,150,95,120,71,2,15,1,0
106,90,130,90,154,110,2,14,7,1
106,130,90,110,154,90,2,6,7,1
100,100,100,100,100,100,2,14,9,0
40,45,35,65,55,70,3,9,17,0
50,65,45,85,65,95,3,9,17,0
70,85,65,105,85,120,3,9,17,0
70,110,75,145,85,145,3,9,2,0
45,60,40,70,50,45,3,6,17,0
60,85,60,85,60,55,3,6,5,0
80,120,70,110,70,80,3,6,5,0
80,160,80,130,80,100,3,6,5,0
50,70,50,50,50,40,3,17,17,0
70,85,70,60,70,50,3,17,10,0
100,110,90,85,90,60,3,17,10,0
100,150,110,95,110,70,3,17,10,0
35,55,35,30,30,35,3,1,17,0
70,90,70,60,60,70,3,1,17,0
38,30,41,30,41,60,3,12,17,0
78,70,61,50,61,100,3,12,17,0
45,45,35,20,30,20,3,0,17,0
50,35,55,25,25,15,3,0,17,0
60,70,50,100,50,65,3,0,7,0
50,35,55,25,25,15,3,0,17,0
60,50,70,50,90,65,3,0,13,0
40,30,30,40,50,30,3,17,9,0
60,50,50,60,70,50,3,17,9,0
80,70,70,90,100,70,3,17,9,0
40,40,50,30,30,30,3,9,17,0
70,70,40,60,40,60,3,9,1,0
90,100,60,90,60,80,3,9,1,0
40,55,30,30,30,85,3,12,7,0
60,85,60,62,50,125,3,12,7,0
40,30,30,55,30,85,3,17,7,0
60,50,100,90,70,65,3,17,7,0
28,25,25,45,35,40,3,14,4,0
38,35,35,65,55,50,3,14,4,0
68,65,65,125,115,80,3,14,4,0
68,85,65,165,135,100,3,14,4,0
40,30,32,50,52,65,3,0,18,0
70,60,62,90,82,70,3,0,7,0
60,40,60,40,60,35,3,9,17,0
60,130,80,60,60,70,3,9,5,0
60,60,60,35,35,30,3,12,17,0
80,80,80,55,55,90,3,12,17,0
150,160,100,95,65,100,3,12,17,0
31,45,90,30,30,40,3,0,10,0
61,90,45,50,50,160,3,0,7,0
1,90,45,30,30,40,3,0,8,0
64,51,23,51,23,28,3,12,17,0
84,71,43,71,43,48,3,12,17,0
104,91,63,91,73,68,3,12,17,0
72,60,30,20,30,25,3,5,17,0
144,120,60,40,60,50,3,5,17,0
50,20,40,20,40,20,3,12,4,0
30,45,135,45,90,30,3,15,17,0
50,45,45,35,35,50,3,12,17,0
70,65,65,55,55,80,3,12,17,0
50,75,75,65,65,50,3,1,8,0
50,85,125,85,115,20,3,1,8,0
50,85,85,55,55,50,3,16,4,0
50,105,125,55,95,50,3,16,4,0
50,70,100,40,40,30,3,16,15,0
60,90,140,50,50,40,3,16,15,0
70,110,180,60,60,50,3,16,15,0
70,140,230,60,80,50,3,16,17,0
30,40,55,40,55,60,3,5,14,0
60,60,75,60,75,80,3,5,14,0
60,100,85,80,85,100,3,5,14,0
40,45,40,65,40,65,3,3,17,0
70,75,60,105,60,105,3,3,17,0
70,75,80,135,80,135,3,3,17,0
60,50,40,85,75,95,3,3,17,0
60,40,50,75,85,95,3,3,17,0
65,73,65,47,80,85,3,0,17,0
65,47,65,73,80,85,3,0,17,0
50,60,45,100,80,65,3,9,13,0
70,43,53,43,53,40,3,13,17,0
100,73,83,73,83,55,3,13,17,0
45,90,20,65,20,65,3,17,1,0
70,120,40,95,40,95,3,17,1,0
70,140,70,110,65,105,3,17,1,0
130,70,35,70,35,60,3,17,17,0
170,90,45,90,45,60,3,17,17,0
60,60,40,65,45,35,3,6,10,0
70,100,70,105,75,40,3,6,10,0
70,120,100,145,105,20,3,6,10,0
70,85,140,85,70,20,3,6,17,0
60,25,35,70,80,60,3,14,17,0
80,45,65,90,110,80,3,14,17,0
60,60,60,60,60,60,3,12,17,0
45,100,45,45,45,10,3,10,17,0
50,70,50,50,50,70,3,10,2,0
80,100,80,80,80,100,3,10,2,0
50,85,40,85,40,35,3,9,17,0
70,115,60,115,60,55,3,9,1,0
45,40,60,40,75,50,3,12,7,0
75,70,90,70,105,80,3,2,7,0
75,110,110,110,105,80,3,2,4,0
73,115,60,60,60,90,3,12,17,0
73,100,60,100,60,65,3,13,17,0
80,55,65,95,85,70,3,15,14,0
80,95,85,55,65,70,3,15,14,0
50,48,43,46,41,60,3,17,10,0
110,78,73,76,71,60,3,17,10,0
43,80,65,50,35,35,3,17,17,0
63,120,85,90,55,55,3,17,1,0
40,40,55,40,70,55,3,10,14,0
60,70,105,70,120,75,3,10,14,0
66,41,77,61,87,23,3,15,9,0
86,81,97,81,107,43,3,15,9,0
45,95,50,40,50,75,3,15,0,0
75,125,100,70,80,45,3,15,0,0
20,15,20,10,55,80,3,17,17,0
95,60,79,100,125,81,3,17,17,0
70,70,70,70,70,70,3,12,17,0
60,90,70,60,120,40,3,12,17,0
44,75,35,63,33,45,3,8,17,0
64,115,65,83,63,65,3,8,17,0
64,165,75,93,83,75,3,8,17,0
20,40,90,30,90,25,3,8,17,0
40,70,130,60,130,25,3,8,17,0
99,68,83,72,87,51,3,9,7,0
70,50,75,95,85,65,3,14,17,0
65,130,60,75,60,75,3,1,17,0
65,150,60,115,60,115,3,1,17,0
95,23,48,23,48,23,3,14,17,0
50,50,50,50,50,50,3,11,17,0
80,80,80,80,80,80,3,11,17,0
80,120,80,120,80,100,3,11,17,0
70,40,50,55,50,25,3,11,18,0
90,60,70,75,70,45,3,11,18,0
110,80,90,95,90,65,3,11,18,0
35,64,85,74,55,32,3,17,17,0
55,104,105,94,75,52,3,17,17,0
55,84,105,114,75,52,3,17,17,0
100,90,130,45,65,55,3,17,15,0
43,30,55,40,65,97,3,17,17,0
45,75,60,40,30,50,3,2,17,0
65,95,100,60,50,50,3,2,17,0
95,135,80,110,80,100,3,2,7,0
95,145,130,120,90,120,3,2,7,0
40,55,80,35,60,30,3,16,14,0
60,75,100,55,80,50,3,16,14,0
80,135,130,95,90,70,3,16,14,0
80,145,150,105,110,110,3,16,14,0
80,100,200,50,100,50,3,15,17,1
80,50,100,100,200,50,3,11,17,1
80,75,150,75,150,50,3,16,17,1
80,80,90,110,130,110,3,2,14,1
80,100,120,140,150,110,3,2,14,1
80,90,80,130,110,110,3,2,14,1
80,130,100,160,120,110,3,2,14,1
100,100,90,150,140,90,3,17,17,1
100,150,90,180,160,90,3,17,17,1
100,150,140,100,90,90,3,10,17,1
100,180,160,150,90,90,3,10,6,1
105,150,90,150,90,95,3,2,7,1
105,180,100,180,100,115,3,2,7,1
100,100,100,100,100,100,3,16,14,1
50,150,50,150,50,150,3,14,17,1
50,180,20,180,20,150,3,14,17,1
50,70,160,70,160,90,3,14,17,1
50,95,90,95,90,180,3,14,17,1
55,68,64,45,55,31,4,9,17,0
75,89,85,55,65,36,4,9,17,0
95,109,105,75,85,56,4,9,10,0
44,58,44,58,44,61,4,6,17,0
64,78,52,78,52,81,4,6,5,0
76,104,71,104,71,108,4,6,5,0
53,51,53,61,56,40,4,17,17,0
64,66,68,81,76,50,4,17,17,0
84,86,88,111,101,60,4,17,16,0
40,55,30,30,30,60,4,12,7,0
55,75,50,40,40,80,4,12,7,0
85,120,70,50,60,100,4,12,7,0
59,45,40,35,40,31,4,12,17,0
79,85,60,55,60,71,4,12,18,0
37,25,41,25,41,25,4,0,17,0
77,85,51,55,51,65,4,0,17,0
45,65,34,40,34,45,4,3,17,0
60,85,49,60,49,60,4,3,17,0
80,120,79,95,79,70,4,3,17,0
40,30,35,50,70,55,4,9,13,0
60,70,65,125,105,90,4,9,13,0
67,125,40,30,30,58,4,15,17,0
97,165,60,65,50,58,4,15,17,0
30,42,118,42,88,30,4,15,16,0
60,52,168,47,138,30,4,15,16,0
40,29,45,29,45,36,4,0,17,0
60,59,85,79,105,36,4,0,9,0
60,79,105,59,85,36,4,0,10,0
60,69,95,69,95,36,4,0,16,0
70,94,50,94,50,66,4,0,7,0
30,30,42,30,42,70,4,0,7,0
70,80,102,80,102,40,4,0,7,0
60,45,70,45,90,95,4,3,17,0
55,65,35,60,30,85,4,17,17,0
85,105,55,85,50,115,4,17,17,0
45,35,45,62,53,35,4,9,17,0
70,60,70,87,78,85,4,9,17,0
76,48,48,57,62,34,4,17,17,0
111,83,68,92,82,39,4,17,10,0
75,100,66,60,66,115,4,12,17,0
90,50,34,60,44,70,4,8,7,0
150,80,44,90,54,80,4,8,7,0
55,66,44,44,56,85,4,12,17,0
65,76,84,54,96,105,4,12,17,0
65,136,94,54,96,135,4,12,5,0
60,60,60,105,105,105,4,8,17,0
100,125,52,105,52,71,4,1,7,0
49,55,42,42,37,85,4,12,17,0
71,82,64,64,59,112,4,12,17,0
45,30,50,65,50,45,4,14,17,0
63,63,47,41,41,74,4,13,1,0
103,93,67,71,61,84,4,13,1,0
57,24,86,24,86,23,4,16,14,0
67,89,116,79,116,33,4,16,14,0
50,80,95,10,45,10,4,15,17,0
20,25,45,70,90,60,4,14,4,0
100,5,5,15,65,30,4,12,17,0
76,65,45,92,42,91,4,12,7,0
50,92,108,92,108,35,4,8,1,0
58,70,45,40,45,42,4,2,10,0
68,90,65,50,55,82,4,2,10,0
108,130,95,80,85,102,4,2,10,0
108,170,115,120,95,92,4,2,10,0
135,85,40,40,85,5,4,12,17,0
40,70,40,35,40,60,4,5,17,0
70,110,70,115,70,90,4,5,16,0
70,145,88,140,70,112,4,5,16,0
68,72,78,38,42,32,4,10,17,0
108,112,118,68,72,47,4,10,17,0
40,50,90,30,55,65,4,13,0,0
70,90,110,60,75,95,4,13,1,0
48,61,40,61,40,50,4,13,5,0
83,106,65,86,65,85,4,13,5,0
74,100,72,90,72,46,4,9,17,0
49,49,56,49,61,66,4,17,17,0
69,69,76,69,86,91,4,17,17,0
45,20,50,60,120,50,4,17,7,0
60,62,50,62,60,40,4,9,11,0
90,92,75,92,85,60,4,9,11,0
90,132,105,132,105,30,4,9,11,0
70,120,65,45,85,125,4,1,11,0
70,70,115,130,90,60,4,3,16,0
110,85,95,80,95,50,4,12,17,0
115,140,130,55,55,40,4,10,15,0
100,100,125,110,50,50,4,9,17,0
75,123,67,95,85,95,4,3,17,0
75,95,67,125,95,83,4,6,17,0
85,50,95,120,115,80,4,4,7,0
86,76,86,116,56,95,4,0,7,0
65,110,130,60,65,95,4,9,17,0
65,60,110,130,95,65,4,11,17,0
75,95,125,45,75,95,4,10,7,0
110,130,80,70,60,80,4,11,10,0
85,80,70,135,75,90,4,12,17,0
68,125,65,65,115,80,4,14,5,0
68,165,95,65,115,110,4,14,5,0
60,55,145,75,150,40,4,15,16,0
45,100,135,65,135,45,4,8,17,0
70,80,70,80,70,110,4,11,8,0
50,50,77,95,77,91,4,3,8,0
50,65,107,105,107,86,4,3,6,0
50,65,107,105,107,86,4,3,18,0
50,65,107,105,107,86,4,3,11,0
50,65,107,105,107,86,4,3,7,0
50,65,107,105,107,86,4,3,9,0
75,75,130,75,130,95,4,14,17,1
80,105,105,105,105,80,4,14,17,1
75,125,70,125,70,115,4,14,17,1
100,120,120,150,100,90,4,16,2,1
90,120,100,150,120,100,4,17,2,1
91,90,106,130,106,77,4,6,16,1
110,160,110,80,110,100,4,12,17,1
150,100,120,100,120,90,4,8,2,1
150,120,100,120,100,90,4,8,2,1
120,70,120,75,130,85,4,14,17,0
80,80,80,80,80,80,4,17,17,0
100,100,100,100,100,100,4,17,17,0
70,90,90,135,90,125,4,1,17,1
100,100,100,100,100,100,4,9,17,1
100,103,75,120,75,127,4,9,7,1
120,120,120,120,120,120,4,12,17,1
100,100,100,100,100,100,5,14,6,1
45,45,55,45,55,63,5,9,17,0
60,60,75,60,75,83,5,9,17,0
75,75,95,75,95,113,5,9,17,0
65,63,45,45,45,45,5,6,17,0
90,93,55,70,55,55,5,6,5,0
110,123,65,100,65,65,5,6,5,0
55,55,45,63,45,45,5,17,17,0
75,75,60,83,60,60,5,17,17,0
95,100,85,108,70,70,5,17,17,0
45,55,39,35,39,42,5,12,17,0
60,85,69,60,69,77,5,12,17,0
45,60,45,25,45,55,5,12,17,0
65,80,65,35,65,60,5,12,17,0
85,110,90,45,90,80,5,12,17,0
41,50,37,50,37,66,5,1,17,0
64,88,50,88,50,106,5,1,17,0
50,53,48,53,48,64,5,9,17,0
75,98,63,98,63,101,5,9,17,0
50,53,48,53,48,64,5,6,17,0
75,98,63,98,63,101,5,6,17,0
50,53,48,53,48,64,5,17,17,0
75,98,63,98,63,101,5,17,17,0
76,25,45,67,55,24,5,14,17,0
116,55,85,107,95,29,5,14,17,0
50,55,50,36,30,43,5,12,7,0
62,77,62,50,42,65,5,12,7,0
80,115,80,65,55,93,5,12,7,0
45,60,32,50,32,76,5,3,17,0
75,100,63,80,63,116,5,3,17,0
55,75,85,25,25,15,5,15,17,0
70,105,105,50,40,20,5,15,17,0
85,135,130,60,80,25,5,15,17,0
60,45,43,55,43,72,5,14,7,0
67,57,55,77,55,114,5,14,7,0
60,85,40,30,45,68,5,10,17,0
110,135,60,50,65,88,5,10,16,0
103,60,86,60,86,50,5,12,17,0
103,60,126,80,126,50,5,12,4,0
75,80,55,25,35,35,5,5,17,0
85,105,85,40,50,40,5,5,17,0
105,140,95,55,65,45,5,5,17,0
50,50,40,50,40,64,5,17,17,0
75,65,55,65,55,69,5,17,10,0
105,95,75,85,75,74,5,17,10,0
120,100,85,30,85,45,5,5,17,0
75,125,75,30,75,85,5,5,17,0
45,53,70,40,60,42,5,0,9,0
55,63,90,50,80,42,5,0,9,0
75,103,80,70,80,92,5,0,9,0
30,45,59,30,39,57,5,0,13,0
40,55,99,40,79,47,5,0,13,0
60,100,89,55,69,112,5,0,13,0
40,27,60,37,50,66,5,9,4,0
60,67,85,77,75,116,5,9,4,0
45,35,50,70,50,30,5,9,17,0
70,60,75,110,75,90,5,9,17,0
70,92,65,80,55,98,5,17,17,0
50,72,35,35,35,65,5,10,1,0
60,82,45,45,45,74,5,10,1,0
95,117,80,65,70,92,5,10,1,0
70,90,45,15,45,50,5,6,17,0
105,140,55,30,55,95,5,6,17,0
105,30,105,140,105,55,5,6,14,0
75,86,67,106,67,60,5,9,17,0
50,65,85,35,35,55,5,0,15,0
70,100,125,65,75,45,5,0,15,0
50,75,70,35,70,48,5,1,5,0
65,90,115,45,115,58,5,1,5,0
72,58,80,103,80,97,5,14,7,0
38,30,85,55,65,30,5,8,17,0
58,50,145,95,105,30,5,8,17,0
54,78,103,53,45,22,5,17,15,0
74,108,133,83,65,32,5,17,15,0
55,112,45,74,45,70,5,15,7,0
75,140,65,112,65,110,5,15,7,0
50,50,62,40,62,65,5,13,17,0
80,95,82,60,82,75,5,13,17,0
40,65,40,80,40,65,5,1,17,0
60,105,60,120,60,105,5,1,17,0
55,50,40,40,40,75,5,12,17,0
75,95,60,65,60,115,5,12,17,0
45,30,50,55,65,45,5,14,17,0
60,45,70,75,85,55,5,14,17,0
70,55,95,95,110,65,5,14,17,0
45,30,40,105,50,20,5,14,17,0
65,40,50,125,60,30,5,14,17,0
110,65,75,125,85,30,5,14,17,0
62,44,50,44,50,55,5,17,7,0
75,87,63,87,63,98,5,17,7,0
36,50,50,65,60,44,5,11,17,0
51,65,65,80,75,59,5,11,17,0
71,95,85,110,95,79,5,11,17,0
60,60,50,40,50,75,5,12,9,0
80,100,70,60,70,95,5,12,9,0
55,75,60,75,60,103,5,3,7,0
50,75,45,40,45,60,5,0,17,0
70,135,105,60,105,20,5,0,16,0
69,55,45,55,55,15,5,9,13,0
114,85,70,85,80,30,5,9,13,0
55,40,50,65,85,40,5,17,8,0
100,60,70,85,105,60,5,17,8,0
165,75,80,40,45,65,5,17,17,0
50,47,50,57,50,65,5,0,3,0
70,77,60,97,60,108,5,0,3,0
44,50,91,24,86,10,5,9,16,0
74,94,131,54,116,20,5,9,16,0
40,55,70,45,60,30,5,16,17,0
60,80,95,70,85,50,5,16,17,0
60,100,115,70,85,90,5,16,17,0
35,55,40,45,40,60,5,3,17,0
65,85,70,75,70,40,5,3,17,0
85,115,80,105,80,50,5,3,17,0
55,55,55,85,55,30,5,14,17,0
75,75,75,125,95,40,5,14,17,0
50,30,55,65,55,20,5,8,6,0
60,40,60,95,60,55,5,8,6,0
60,55,90,145,90,80,5,8,6,0
46,87,60,30,40,57,5,2,17,0
66,117,70,40,50,67,5,2,17,0
76,147,90,60,70,97,5,2,17,0
55,70,40,60,40,40,5,11,17,0
95,120,80,70,80,50,5,11,17,0
75,50,40,95,135,105,5,11,17,0
50,40,85,40,65,25,5,0,17,0
80,70,40,100,60,145,5,0,17,0
109,66,84,81,99,32,5,10,3,0
45,85,50,55,50,65,5,5,17,0
65,125,60,95,60,105,5,5,17,0
77,120,90,60,90,48,5,2,17,0
59,74,50,35,50,35,5,10,8,0
89,124,80,55,80,55,5,10,8,0
45,85,70,40,40,60,5,1,16,0
65,125,100,60,70,70,5,1,16,0
95,110,95,40,95,55,5,12,17,0
70,83,50,37,50,60,5,12,7,0
100,123,75,57,75,80,5,12,7,0
70,55,75,45,65,60,5,1,7,0
110,65,105,55,95,80,5,1,7,0
85,97,66,105,66,65,5,6,17,0
58,109,112,48,48,109,5,0,16,0
52,65,50,45,50,38,5,1,2,0
